source,target,weight
ENO1,PABPC4,6.209124766657535
ENO1,HDAC1,6.202902518759839
ENO1,ATP5IF1,6.200505935990592
JUN,TCEA3,6.192507555490772
ENO1,YTHDF2,6.192403540828115
E2F2,HMGN2,6.189942508795411
JUN,CDCP2,6.184140469611846
JUN,LINC01342,6.176790802194441
GMEB1,DLGAP3,6.175416951442048
GMEB1,LINC02609,6.175165002731303
RUNX3,TNFRSF4,6.1751377674758166
ENO1,CZIB,6.168336537373106
ENO1,LINC01141,6.161200449625549
FUBP1,CASZ1,6.160418748623714
ENO1,DPH2,6.151908021283502
JUN,PLPP3,6.145226290022424
ENO1,YBX1,6.135799779276775
ENO1,ST3GAL3,6.1301421467603845
JUN,SYCP1,6.125957892602296
JUN,PRKACB,6.123528683748149
ENO1,PHF13,6.123185358287317
ID3,GSTM3,6.118000393014993
HIVEP3,RBM15-AS1,6.112639940856472
JUN,AJAP1,6.100458433589617
TP73,SLC16A4,6.100412721967793
NFYC,PADI6,6.097701552968022
ENO1,AK2,6.096639999410332
POU3F1,MRTO4,6.094777246511015
ENO1,TFAP2E,6.092834427896912
JUN,BSDC1,6.09137048995433
MTF1,TRIM45,6.087594597334203
ZNF691,BEND5,6.082441338523615
ENO1,NDUFS5,6.082005654380619
MTF1,TESK2,6.072630523616711
PAX7,NEXN-AS1,6.068500623647499
HIVEP3,RUNX3,6.06580796451311
YBX1,DMAP1,6.065040410385907
JUN,FGR,6.06466113218993
MTF1,PUM1,6.063436810226885
ENO1,MEAF6,6.055336430220216
JUN,PLOD1,6.0519320709976006
JUN,LINC01772,6.045676180041788
ENO1,L1TD1,6.0435024739115395
ENO1,SELENOF,6.042066881745697
JUN,PATJ,6.037677264298418
MTF1,ASAP3,6.032080344451145
JUN,OSBPL9,6.030261549928974
ID3,DPH5,6.02758310459114
RUNX3,MAD2L2,6.026884767239659
JUN,SPOCD1,6.013651921500196
JUN,MDS2,6.00697284581382
MTF1,RNPC3,6.0065918929694035
JUN,IFNLR1,6.005753924619821
ZNF684,ALX3,6.004393179917625
FUBP1,LRRC47,6.0033252527864205
HIVEP3,PRKCZ,5.997200610010596
FUBP1,PLPPR4,5.989810017055372
JUN,PTPRU,5.988468109254262
ENO1,DR1,5.98672297687919
FOXO6,FOXD3-AS1,5.9786200093652555
ENO1,LINC01739,5.9705051183968
FUBP1,PPCS,5.964273446122661
YBX1,TMEM51-AS1,5.962337201450735
NFIA,F3,5.961064342328684
JUN,UBE4B,5.943011955937779
FOXJ3,OVGP1,5.936868645996748
HIVEP3,SYCP1,5.92725280121261
FUBP1,CPLANE2,5.915722054830296
E2F2,PARK7,5.912468103532264
JUN,HPCAL4,5.9054588876665255
MTF1,UBXN11,5.903802828396879
ZNF691,SLC45A1,5.902667042391531
JUN,ADGRL4,5.899314077949269
ENO1,AKR1A1,5.898803908120373
FOXJ3,MSH4,5.895569227397242
JUN,LRRC38,5.89553462386897
ENO1,PRDX1,5.889458615255993
MTF1,LRRC40,5.884377693922138
MTF1,CCDC18,5.880605128085945
ENO1,NGF,5.878697515866945
E2F2,MRPL37,5.878481074557032
FUBP1,TMEM53,5.877675594775238
JUN,LRRC8B,5.874244520360047
RUNX3,GSTM1,5.8704252829921355
JUN,KIAA0319L,5.868666736471433
JUN,KIAA1522,5.865627200851054
ID3,CD52,5.865439204873526
JUN,COL24A1,5.862442415211322
E2F2,PRPF38A,5.860014167495123
MTF1,STX12,5.8516989473881615
HIVEP3,GBP7,5.850643456203397
GMEB1,GSTM1,5.8489821220492315
HIVEP3,TNFRSF14-AS1,5.842745370942786
MTF1,SLC22A15,5.840809573074427
E2F2,FAAP20,5.838073629100178
TP73,AP4B1,5.829573989300446
ENO1,DEPDC1,5.822183431142232
YBX1,KIF2C,5.817458295428528
ENO1,PANK4,5.814947192447146
MTF1,GBP1,5.810806979772643
MTF1,VAMP3,5.810055822593328
HES4,LINC01160,5.809212770960921
MTF1,PTAFR,5.806643211500203
GMEB1,CYP4A22-AS1,5.7999617120578675
YBX1,TP73,5.7929582856678
JUN,MYSM1,5.79102898913515
GFI1,GPR153,5.786568686793534
JUN,RIMKLA,5.7821097445707075
JUN,KIF2C,5.769084845625396
FOXJ3,AJAP1,5.768990866312833
RUNX3,CELA2A,5.767077766939902
ENO1,UTP11,5.756086563736342
FOXJ3,HFM1,5.75561255437102
MTF1,NADK,5.7536613646245485
MTF1,RNF19B,5.751630196284543
GFI1,LINC01786,5.746107527011277
MTF1,DPYD,5.744890958761386
ENO1,EFHD2,5.7445714070885066
FOXJ3,AMY2B,5.742738917964267
FOXJ3,AGL,5.740166717350797
HES4,CEPT1,5.73981474005864
FOXJ3,C1orf127,5.735710840038955
JUN,EVI5,5.73372950633869
JUN,MED18,5.732866449365519
E2F2,CSDE1,5.732630289141281
E2F2,CAP1,5.72777506543962
JUN,FAM151A,5.726819120393181
ENO1,NOC2L,5.7210913029432495
